02747177	bucket	0014
02801938	bucket	0007
02871439	cabinet	0029
02876657	water_bottle	0055
02933112	cabinet	0028
02946921	water_bottle	0033
03001627	swivel_chair	0002
03046257	clock	0008
03761084	oven	0006
04554684	washing_machine	0003
04330267	oven	0009
03325088	faucet	0001
03337140	cabinet	0003
03636649	lamp	0026
03642806	laptop	0005
02808440	none	0000
02818832	none	0000
02828884	none	0000
02880940	none	0000
02954340	none	0000
03085013	none	0000
03207941	none	0000
03211117	none	0000
03467517	none	0000
03593526	none	0000
04379243	none	0000
04401088	none	0000
03691459	none	0000
03928116	none	0000
03938244	none	0000
03991062	none	0000
04004475	none	0000
04256520	none	0000
03790512	none	0000
02773838	none	0000
